Word	Counts	Cluster
intelligence	224	8
civil	224	6
classification	224	0
verdict	224	6
worship	223	3
allowance	223	2
material	223	5
issue	223	0
extracts	222	5
around	222	3
trades	222	16
judges	222	11
ward	222	16
burglary	222	6
respective	221	16
diminished	221	10
pardons	221	9
comfortable	221	3
arranged	220	10
library	220	2
naturally	219	7
august	219	9
perform	219	17
standing	219	7
recommended	219	10
western	218	16
robbery	218	6
bearing	218	5
o	217	15
charitable	217	7
comparatively	217	7
adopt	217	17
amendment	217	8
orders	217	11
wealth	216	8
miss	216	15
servant	216	15
owing	216	4
expended	216	2
receipts	216	2
hundreds	216	16
violation	216	6
lay	215	17
agency	215	0
abandoned	215	10
remained	215	9
providing	215	4
thieves	215	16
propriety	215	0
ragged	215	16
intention	215	0
beginning	214	9
dead	214	7
examined	214	10
got	214	10
executed	214	10
conditions	214	5
blind	214	8
completed	213	10
minutes	213	9
centre	213	3
assumed	213	10
steady	213	7
attempted	212	10
derived	212	10
effective	212	7
matron	212	11
subscriptions	212	2
induced	212	10
seventh	212	9
alleged	212	10
jurisdiction	212	6
inquire	211	17
estimated	211	2
needs	211	4
worked	210	10
spent	210	10
grandjury	210	11
complaint	210	6
contained	210	4
manifest	210	7
improving	210	7
minister	209	11
contain	209	17
powerful	209	7
kindly	209	11
quantity	209	2
sex	209	8
ascertained	209	10
intermediate	209	9
prevention	209	7
teach	209	17
propose	209	17
v	208	15
exhibited	208	10
commitment	208	6
workshops	208	3
committees	208	11
cure	207	17
corresponding	207	11
demands	207	4
specially	207	11
steps	206	0
share	206	0
strongly	206	7
ventilation	206	3
disorderly	206	6
tables	206	5
degradation	206	8
effectually	206	7
document	205	0
instrument	205	0
silence	205	8
career	205	8
productive	205	7
observe	205	17
familiar	204	1
experienced	204	10
blessing	204	8
floor	204	3
cruelty	204	8
seldom	204	7
virtuous	204	8
salutary	204	7
thomas	204	15
faras	204	7
w	203	15
justly	203	7
filled	203	1
charlestown	203	16
discovered	203	10
amounted	203	2
departments	203	5
wales	203	16
popular	203	7
aud	203	7
actions	202	6
writer	202	0
apparently	202	7
commencement	202	9
tell	202	17
front	202	3
pardoned	202	10
philanthropic	202	7
delivered	202	10
volume	202	0
glad	201	10
somewhat	201	7
hearts	201	8
hardened	201	8
per_week	201	2
elements	201	5
absolutely	201	7
pure	200	8
voice	200	8
consent	200	1
signed	200	11
ber	200	9
feature	200	0
benjamin	200	15
unknown	200	10
organization	200	0
below	200	3
sin	199	8
patient	199	7
military	199	16
lowest	199	16
particulars	199	5
goods	199	2
element	199	0
preventing	198	4
largely	198	7
documents	198	5
rich	198	8
myself	198	7
belief	198	0
ordered	198	10
post	198	15
observations	198	5
facilities	198	5
watch	198	11
sight	198	8
howmany	198	7
divine	197	8
prayer	197	8
pupils	197	16
beautiful	197	7
february	197	9
attached	197	10
richard	197	15
ad	197	7
premises	197	3
therein	197	6
paying	197	2
existed	196	16
thief	196	6
assigned	196	10
beg	196	17
opportunities	195	5
capacity	195	8
wisdom	195	8
goes	195	4
vagrant	195	6
ago	195	9
knowing	194	4
providence	194	8
